Location,LAI_drone,LAI_drone_processed,LAI_Licor
1,3.794,,4.07
2,3.642,,3.499
3,3.145,,3.569
4,2.217,,3.616
5,1.395,,4.646
6,1.918,,3.873
7,3.357,,3.55
8,2.417,,2.427
9,2.772,,2.55
10,3.218,,4.39
11,1.485,,3.287
12,1.646,,3.209
13,3.218,,2.993
14,2.51,,3.404
15,2.258,,2.926
16,1.756,,2.704
17,2.189,,2.782
18,0.848,,3.496
19,2.772,,3.209
20,0.851,,1.742
21,2.522,,3.625
22,2.772,,2.581
23,2.772,,2.964
24,1.832,,2.127
25,3.028,,2.231
26,1.518,,2.747
27,2.043,,1.725
28,3.389,,2.863
29,2.51,,3.466
30,3.028,,2.421
31,1.597,,1.345
32,3.794,,2.102
33,3.252,,2.026
34,2.07,,1.302
35,1.525,,3.224
36,1.611,,1.632
37,2.362,,1.299
38,2.217,,2.17
39,3.673,,2.131
40,2.659,,2.117
41,2.772,,2.706
42,2.407,,0.999
43,1.746,,1.722
44,1.51,,2.603
45,0.868,,1.47
46,2.184,,2.094
47,2.772,,1.338
48,1.117,,1.587
49,1.911,,1.547
50,2.136,,1.784
51,2.323,,1.794
52,1.551,,1.944
53,1.935,,1.118
54,1.832,,1.477
55,1.832,,0.976
56,1.396,,2.504
57,1.966,,2.196
58,2.772,,1.822
59,2.186,,1.16
60,3.031,,1.208
61,3.121,,1.735
62,2.691,,1.3
63,3.354,,1.792
64,2.599,,0.862
65,1.885,,2.429
66,1.505,,0.287
67,2.055,,0.431
68,2.609,,1.406
69,2.384,,0.738
70,1.597,,0.785
